date,date,value
1931-09-01 09:00:00,1931-09-01 09:00:00,26.2
1931-10-01 09:00:00,1931-10-01 09:00:00,148.0
1931-11-01 09:00:00,1931-11-01 09:00:00,195.1
1931-12-01 09:00:00,1931-12-01 09:00:00,0.0
1932-01-01 09:00:00,1932-01-01 09:00:00,101.2
1932-02-01 09:00:00,1932-02-01 09:00:00,9.2
1932-03-01 09:00:00,1932-03-01 09:00:00,122.0
1932-04-01 09:00:00,1932-04-01 09:00:00,107.4
1932-05-01 09:00:00,1932-05-01 09:00:00,76.3
1932-06-01 09:00:00,1932-06-01 09:00:00,75.4
1932-07-01 09:00:00,1932-07-01 09:00:00,16.0
1932-08-01 09:00:00,1932-08-01 09:00:00,12.0
1932-09-01 09:00:00,1932-09-01 09:00:00,141.4
1932-10-01 09:00:00,1932-10-01 09:00:00,72.0
1932-11-01 09:00:00,1932-11-01 09:00:00,59.0
1932-12-01 09:00:00,1932-12-01 09:00:00,210.0
1933-01-01 09:00:00,1933-01-01 09:00:00,145.6
1933-02-01 09:00:00,1933-02-01 09:00:00,24.6
1933-03-01 09:00:00,1933-03-01 09:00:00,172.0
1933-04-01 09:00:00,1933-04-01 09:00:00,32.6
1933-05-01 09:00:00,1933-05-01 09:00:00,65.6
1933-06-01 09:00:00,1933-06-01 09:00:00,16.6
1933-07-01 09:00:00,1933-07-01 09:00:00,12.8
1933-08-01 09:00:00,1933-08-01 09:00:00,0.0
1933-09-01 09:00:00,1933-09-01 09:00:00,12.2
1933-10-01 09:00:00,1933-10-01 09:00:00,93.8
1933-11-01 09:00:00,1933-11-01 09:00:00,85.6
1933-12-01 09:00:00,1933-12-01 09:00:00,109.2
1934-01-01 09:00:00,1934-01-01 09:00:00,92.2
1934-02-01 09:00:00,1934-02-01 09:00:00,0.0
1934-03-01 09:00:00,1934-03-01 09:00:00,263.2
1934-04-01 09:00:00,1934-04-01 09:00:00,174.0
1934-05-01 09:00:00,1934-05-01 09:00:00,69.6
1934-06-01 09:00:00,1934-06-01 09:00:00,1.2
1934-07-01 09:00:00,1934-07-01 09:00:00,22.6
1934-08-01 09:00:00,1934-08-01 09:00:00,43.2
1934-09-01 09:00:00,1934-09-01 09:00:00,11.2
1934-10-01 09:00:00,1934-10-01 09:00:00,25.6
1934-11-01 09:00:00,1934-11-01 09:00:00,128.2
1934-12-01 09:00:00,1934-12-01 09:00:00,482.8
1935-01-01 09:00:00,1935-01-01 09:00:00,0.6
1935-02-01 09:00:00,1935-02-01 09:00:00,162.8
1935-03-01 09:00:00,1935-03-01 09:00:00,30.3
1935-04-01 09:00:00,1935-04-01 09:00:00,57.8
1935-05-01 09:00:00,1935-05-01 09:00:00,89.4
1935-06-01 09:00:00,1935-06-01 09:00:00,46.2
1935-07-01 09:00:00,1935-07-01 09:00:00,
1935-08-01 09:00:00,1935-08-01 09:00:00,
1935-09-01 09:00:00,1935-09-01 09:00:00,
1935-10-01 09:00:00,1935-10-01 09:00:00,
1935-11-01 09:00:00,1935-11-01 09:00:00,295.4
1935-12-01 09:00:00,1935-12-01 09:00:00,378.0
1936-01-01 09:00:00,1936-01-01 09:00:00,449.2
1936-02-01 09:00:00,1936-02-01 09:00:00,320.1
1936-03-01 09:00:00,1936-03-01 09:00:00,317.8
1936-04-01 09:00:00,1936-04-01 09:00:00,187.6
1936-05-01 09:00:00,1936-05-01 09:00:00,51.8
1936-06-01 09:00:00,1936-06-01 09:00:00,37.0
1936-07-01 09:00:00,1936-07-01 09:00:00,24.0
1936-08-01 09:00:00,1936-08-01 09:00:00,10.4
1936-09-01 09:00:00,1936-09-01 09:00:00,18.3
1936-10-01 09:00:00,1936-10-01 09:00:00,54.6
1936-11-01 09:00:00,1936-11-01 09:00:00,64.3
1936-12-01 09:00:00,1936-12-01 09:00:00,74.8
1937-01-01 09:00:00,1937-01-01 09:00:00,419.4
1937-02-01 09:00:00,1937-02-01 09:00:00,221.0
1937-03-01 09:00:00,1937-03-01 09:00:00,392.0
1937-04-01 09:00:00,1937-04-01 09:00:00,110.4
1937-05-01 09:00:00,1937-05-01 09:00:00,54.8
1937-06-01 09:00:00,1937-06-01 09:00:00,23.2
1937-07-01 09:00:00,1937-07-01 09:00:00,0.0
1937-08-01 09:00:00,1937-08-01 09:00:00,0.0
1937-09-01 09:00:00,1937-09-01 09:00:00,46.0
1937-10-01 09:00:00,1937-10-01 09:00:00,155.6
1937-11-01 09:00:00,1937-11-01 09:00:00,283.8
1937-12-01 09:00:00,1937-12-01 09:00:00,229.9
1938-01-01 09:00:00,1938-01-01 09:00:00,92.8
1938-02-01 09:00:00,1938-02-01 09:00:00,25.4
1938-03-01 09:00:00,1938-03-01 09:00:00,67.8
1938-04-01 09:00:00,1938-04-01 09:00:00,20.2
1938-05-01 09:00:00,1938-05-01 09:00:00,83.0
1938-06-01 09:00:00,1938-06-01 09:00:00,5.6
1938-07-01 09:00:00,1938-07-01 09:00:00,6.6
1938-08-01 09:00:00,1938-08-01 09:00:00,0.0
1938-09-01 09:00:00,1938-09-01 09:00:00,49.8
1938-10-01 09:00:00,1938-10-01 09:00:00,33.4
1938-11-01 09:00:00,1938-11-01 09:00:00,105.0
1938-12-01 09:00:00,1938-12-01 09:00:00,176.2
1939-01-01 09:00:00,1939-01-01 09:00:00,363.4
1939-02-01 09:00:00,1939-02-01 09:00:00,45.0
1939-03-01 09:00:00,1939-03-01 09:00:00,52.2
1939-04-01 09:00:00,1939-04-01 09:00:00,155.8
1939-05-01 09:00:00,1939-05-01 09:00:00,40.0
1939-06-01 09:00:00,1939-06-01 09:00:00,89.8
1939-07-01 09:00:00,1939-07-01 09:00:00,47.0
1939-08-01 09:00:00,1939-08-01 09:00:00,55.6
1939-09-01 09:00:00,1939-09-01 09:00:00,86.0
1939-10-01 09:00:00,1939-10-01 09:00:00,206.2
1939-11-01 09:00:00,1939-11-01 09:00:00,65.6
1939-12-01 09:00:00,1939-12-01 09:00:00,92.0
1940-01-01 09:00:00,1940-01-01 09:00:00,258.8
1940-02-01 09:00:00,1940-02-01 09:00:00,208.0
1940-03-01 09:00:00,1940-03-01 09:00:00,211.0
1940-04-01 09:00:00,1940-04-01 09:00:00,68.2
1940-05-01 09:00:00,1940-05-01 09:00:00,74.2
1940-06-01 09:00:00,1940-06-01 09:00:00,42.6
1940-07-01 09:00:00,1940-07-01 09:00:00,4.2
1940-08-01 09:00:00,1940-08-01 09:00:00,0.0
1940-09-01 09:00:00,1940-09-01 09:00:00,9.0
1940-10-01 09:00:00,1940-10-01 09:00:00,177.8
1940-11-01 09:00:00,1940-11-01 09:00:00,209.8
1940-12-01 09:00:00,1940-12-01 09:00:00,33.2
1941-01-01 09:00:00,1941-01-01 09:00:00,425.8
1941-02-01 09:00:00,1941-02-01 09:00:00,270.0
1941-03-01 09:00:00,1941-03-01 09:00:00,166.9
1941-04-01 09:00:00,1941-04-01 09:00:00,187.4
1941-05-01 09:00:00,1941-05-01 09:00:00,106.4
1941-06-01 09:00:00,1941-06-01 09:00:00,61.9
1941-07-01 09:00:00,1941-07-01 09:00:00,48.0
1941-08-01 09:00:00,1941-08-01 09:00:00,7.0
1941-09-01 09:00:00,1941-09-01 09:00:00,23.6
1941-10-01 09:00:00,1941-10-01 09:00:00,5.0
1941-11-01 09:00:00,1941-11-01 09:00:00,181.0
1941-12-01 09:00:00,1941-12-01 09:00:00,3.2
1942-01-01 09:00:00,1942-01-01 09:00:00,85.2
1942-02-01 09:00:00,1942-02-01 09:00:00,24.6
1942-03-01 09:00:00,1942-03-01 09:00:00,202.4
1942-04-01 09:00:00,1942-04-01 09:00:00,166.4
1942-05-01 09:00:00,1942-05-01 09:00:00,125.8
1942-06-01 09:00:00,1942-06-01 09:00:00,84.0
1942-07-01 09:00:00,1942-07-01 09:00:00,0.0
1942-08-01 09:00:00,1942-08-01 09:00:00,39.6
1942-09-01 09:00:00,1942-09-01 09:00:00,64.0
1942-10-01 09:00:00,1942-10-01 09:00:00,100.6
1942-11-01 09:00:00,1942-11-01 09:00:00,72.4
1942-12-01 09:00:00,1942-12-01 09:00:00,198.4
1943-01-01 09:00:00,1943-01-01 09:00:00,372.6
1943-02-01 09:00:00,1943-02-01 09:00:00,29.6
1943-03-01 09:00:00,1943-03-01 09:00:00,78.0
1943-04-01 09:00:00,1943-04-01 09:00:00,70.0
1943-05-01 09:00:00,1943-05-01 09:00:00,43.6
1943-06-01 09:00:00,1943-06-01 09:00:00,2.0
1943-07-01 09:00:00,1943-07-01 09:00:00,40.6
1943-08-01 09:00:00,1943-08-01 09:00:00,5.0
1943-09-01 09:00:00,1943-09-01 09:00:00,119.0
1943-10-01 09:00:00,1943-10-01 09:00:00,195.4
1943-11-01 09:00:00,1943-11-01 09:00:00,34.0
1943-12-01 09:00:00,1943-12-01 09:00:00,131.6
1944-01-01 09:00:00,1944-01-01 09:00:00,6.6
1944-02-01 09:00:00,1944-02-01 09:00:00,39.0
1944-03-01 09:00:00,1944-03-01 09:00:00,57.0
1944-04-01 09:00:00,1944-04-01 09:00:00,129.6
1944-05-01 09:00:00,1944-05-01 09:00:00,10.4
1944-06-01 09:00:00,1944-06-01 09:00:00,67.0
1944-07-01 09:00:00,1944-07-01 09:00:00,38.6
1944-08-01 09:00:00,1944-08-01 09:00:00,132.0
1944-09-01 09:00:00,1944-09-01 09:00:00,7.0
1944-10-01 09:00:00,1944-10-01 09:00:00,78.0
1944-11-01 09:00:00,1944-11-01 09:00:00,79.4
1944-12-01 09:00:00,1944-12-01 09:00:00,90.0
1945-01-01 09:00:00,1945-01-01 09:00:00,88.4
1945-02-01 09:00:00,1945-02-01 09:00:00,8.6
1945-03-01 09:00:00,1945-03-01 09:00:00,34.0
1945-04-01 09:00:00,1945-04-01 09:00:00,49.6
1945-05-01 09:00:00,1945-05-01 09:00:00,91.8
1945-06-01 09:00:00,1945-06-01 09:00:00,61.0
1945-07-01 09:00:00,1945-07-01 09:00:00,6.0
1945-08-01 09:00:00,1945-08-01 09:00:00,25.0
1945-09-01 09:00:00,1945-09-01 09:00:00,5.0
1945-10-01 09:00:00,1945-10-01 09:00:00,120.2
1945-11-01 09:00:00,1945-11-01 09:00:00,102.8
1945-12-01 09:00:00,1945-12-01 09:00:00,334.0
1946-01-01 09:00:00,1946-01-01 09:00:00,27.0
1946-02-01 09:00:00,1946-02-01 09:00:00,34.0
1946-03-01 09:00:00,1946-03-01 09:00:00,180.4
1946-04-01 09:00:00,1946-04-01 09:00:00,137.6
1946-05-01 09:00:00,1946-05-01 09:00:00,189.4
1946-06-01 09:00:00,1946-06-01 09:00:00,44.6
1946-07-01 09:00:00,1946-07-01 09:00:00,0.6
1946-08-01 09:00:00,1946-08-01 09:00:00,15.0
1946-09-01 09:00:00,1946-09-01 09:00:00,36.4
1946-10-01 09:00:00,1946-10-01 09:00:00,79.8
1946-11-01 09:00:00,1946-11-01 09:00:00,111.0
1946-12-01 09:00:00,1946-12-01 09:00:00,71.2
1947-01-01 09:00:00,1947-01-01 09:00:00,112.0
1947-02-01 09:00:00,1947-02-01 09:00:00,348.8
1947-03-01 09:00:00,1947-03-01 09:00:00,315.2
1947-04-01 09:00:00,1947-04-01 09:00:00,62.0
1947-05-01 09:00:00,1947-05-01 09:00:00,90.8
1947-06-01 09:00:00,1947-06-01 09:00:00,26.2
1947-07-01 09:00:00,1947-07-01 09:00:00,0.0
1947-08-01 09:00:00,1947-08-01 09:00:00,0.0
1947-09-01 09:00:00,1947-09-01 09:00:00,43.0
1947-10-01 09:00:00,1947-10-01 09:00:00,69.0
1947-11-01 09:00:00,1947-11-01 09:00:00,80.0
1947-12-01 09:00:00,1947-12-01 09:00:00,155.0
1948-01-01 09:00:00,1948-01-01 09:00:00,351.6
1948-02-01 09:00:00,1948-02-01 09:00:00,51.4
1948-03-01 09:00:00,1948-03-01 09:00:00,63.9
1948-04-01 09:00:00,1948-04-01 09:00:00,62.0
1948-05-01 09:00:00,1948-05-01 09:00:00,106.0
1948-06-01 09:00:00,1948-06-01 09:00:00,17.0
1948-07-01 09:00:00,1948-07-01 09:00:00,0.0
1948-08-01 09:00:00,1948-08-01 09:00:00,27.4
1948-09-01 09:00:00,1948-09-01 09:00:00,0.2
1948-10-01 09:00:00,1948-10-01 09:00:00,109.0
1948-11-01 09:00:00,1948-11-01 09:00:00,23.8
1948-12-01 09:00:00,1948-12-01 09:00:00,143.8
1949-01-01 09:00:00,1949-01-01 09:00:00,61.4
1949-02-01 09:00:00,1949-02-01 09:00:00,20.2
1949-03-01 09:00:00,1949-03-01 09:00:00,31.4
1949-04-01 09:00:00,1949-04-01 09:00:00,25.8
1949-05-01 09:00:00,1949-05-01 09:00:00,35.4
1949-06-01 09:00:00,1949-06-01 09:00:00,29.2
1949-07-01 09:00:00,1949-07-01 09:00:00,13.0
1949-08-01 09:00:00,1949-08-01 09:00:00,0.0
1949-09-01 09:00:00,1949-09-01 09:00:00,97.0
1949-10-01 09:00:00,1949-10-01 09:00:00,67.6
1949-11-01 09:00:00,1949-11-01 09:00:00,126.2
1949-12-01 09:00:00,1949-12-01 09:00:00,65.0
1950-01-01 09:00:00,1950-01-01 09:00:00,24.0
1950-02-01 09:00:00,1950-02-01 09:00:00,164.6
1950-03-01 09:00:00,1950-03-01 09:00:00,97.6
1950-04-01 09:00:00,1950-04-01 09:00:00,11.6
1950-05-01 09:00:00,1950-05-01 09:00:00,165.6
1950-06-01 09:00:00,1950-06-01 09:00:00,45.8
1950-07-01 09:00:00,1950-07-01 09:00:00,14.0
1950-08-01 09:00:00,1950-08-01 09:00:00,0.0
1950-09-01 09:00:00,1950-09-01 09:00:00,28.6
1950-10-01 09:00:00,1950-10-01 09:00:00,34.4
1950-11-01 09:00:00,1950-11-01 09:00:00,146.1
1950-12-01 09:00:00,1950-12-01 09:00:00,70.7
1951-01-01 09:00:00,1951-01-01 09:00:00,154.0
1951-02-01 09:00:00,1951-02-01 09:00:00,238.2
1951-03-01 09:00:00,1951-03-01 09:00:00,277.2
1951-04-01 09:00:00,1951-04-01 09:00:00,84.4
1951-05-01 09:00:00,1951-05-01 09:00:00,122.3
1951-06-01 09:00:00,1951-06-01 09:00:00,35.6
1951-07-01 09:00:00,1951-07-01 09:00:00,51.0
1951-08-01 09:00:00,1951-08-01 09:00:00,20.2
1951-09-01 09:00:00,1951-09-01 09:00:00,47.0
1951-10-01 09:00:00,1951-10-01 09:00:00,88.8
1951-11-01 09:00:00,1951-11-01 09:00:00,311.6
1951-12-01 09:00:00,1951-12-01 09:00:00,41.3
