,id,codigo,nome,altitude,latitude,longitude,coord_x,coord_y,bacia,distrito,concelho,freguesia,responsavel_aut,responsavel_con,estacao_aut,estacao_con,entrada_con,encerra_con,entrada_aut,encerra_aut,telemetria,estado,est_id,geom
0,792,02G/01U,ABRÃ,169.0,39.416,-8.771,145056.23,272184.29,TEJO,SANTARÉM,SANTARÉM,ABRÃ,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,1931-10-01,,2002-10-06,,NÃO,ATIVA,920685726,"{'type': 'Point', 'coordinates': ['-8.771', '39.416']}"
1,793,17H/01C,ABRANTES,105.0,39.454,-8.102,202682.0,276218.0,TEJO,SANTARÉM,ABRANTES,CONCAVADA,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,1931-11-01,,2001-02-01,,SIM,ATIVA,920684954,"{'type': 'Point', 'coordinates': ['-8.102', '39.454']}"
2,794,19C/03G,ABRIGADA,84.0,39.142,-9.011,124089.548,241953.115,TEJO,LISBOA,ALENQUER,ABRIGADA,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOGRÁFICA,1979-10-01,,2004-08-12,,NÃO,ATIVA,920684956,"{'type': 'Point', 'coordinates': ['-9.011', '39.142']}"
3,796,06O/05UG,ADORIGO,458.0,41.146,-7.607,244170.87,464227.791,DOURO,VISEU,TABUAÇO,ADORIGO,nan,CCDR-NORTE,nan,UDOMÉTRICA,1932-10-01,2001-12-31,,,NÃO,EXTINTA,920684960,"{'type': 'Point', 'coordinates': ['-7.607', '41.146']}"
4,797,07L/01U,A-DOS-FRANCOS,62.0,39.320965,-9.04583,121290.59,261839.825,RIBEIRAS DO OESTE,LEIRIA,CALDAS DA RAINHA,A DOS FRANCOS,nan,CCDR-LVT,nan,UDOMÉTRICA,1979-10-01,1983-09-30,,,NÃO,EXTINTA,920752670,"{'type': 'Point', 'coordinates': ['-9.04583', '39.320965']}"
5,798,09L/01UG,ÁGUA LONGA (AGRELA),123.0,41.26,-8.485,170546.0,476808.0,DOURO,PORTO,SANTO TIRSO,AGRELA,Autoridade Nacional da Água,nan,UDOGRÁFICA,nan,,,2006-03-16,,NÃO,ATIVA,920684962,"{'type': 'Point', 'coordinates': ['-8.485', '41.26']}"
6,799,12G/05C,ÁGUAS DE MOURA,17.0,38.582,-8.694,151088.368,179501.401,SADO,SETÚBAL,PALMELA,MARATECA,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,1931-11-26,,2001-01-25,,NÃO,ATIVA,920686062,"{'type': 'Point', 'coordinates': ['-8.694', '38.582']}"
7,801,15F/01UG,ALAGOA,182.0,40.305,-8.183,195800.543,370657.924,MONDEGO,COIMBRA,PENACOVA,SÃO PEDRO DE ALVA,Autoridade Nacional da Água,CCDR-CENTRO,CLIMATOLÓGICA,CLIMATOLÓGICA,1982-07-01,,2001-11-26,,NÃO,ATIVA,920684966,"{'type': 'Point', 'coordinates': ['-8.183', '40.305']}"
8,802,09G/01UG,ÁLAMO,158.0,37.579,-7.687,239364.373,68198.903,GUADIANA,BEJA,MÉRTOLA,ESPÍRITO SANTO,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1980-03-05,,2001-02-15,,NÃO,ATIVA,920684968,"{'type': 'Point', 'coordinates': ['-7.687', '37.579']}"
9,803,26J/04UG,ALANDROAL,302.0,38.693,-7.404,263420.797,191939.393,GUADIANA,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1931-09-07,,2001-02-14,,SIM,ATIVA,920684970,"{'type': 'Point', 'coordinates': ['-7.404', '38.693']}"
10,804,30E/03F,ALBERGARIA DOS DOZE,249.0,39.802089,-8.586394,161180.272,314958.17,MONDEGO,LEIRIA,POMBAL,ALBERGARIA DOS DOZE,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1980-07-01,,2003-08-31,,NÃO,ATIVA,920684982,"{'type': 'Point', 'coordinates': ['-8.586394', '39.802089']}"
11,806,23G/01F,ALBERNOA,133.0,37.857,-7.962,215040.615,98919.839,GUADIANA,BEJA,BEJA,ALBERNOA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1979-05-01,,2001-02-07,,NÃO,ATIVA,920684986,"{'type': 'Point', 'coordinates': ['-7.962', '37.857']}"
12,807,28G/01F,ALBUFEIRA DA BRAVURA,75.0,37.204,-8.7,149671.0,26586.0,RIBEIRAS DO ALGARVE,FARO,LAGOS,BENSAFRIM,Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2001-04-04,2017-10-22,NÃO,DESATIVADA,920684976,"{'type': 'Point', 'coordinates': ['-8.7', '37.204']}"
13,808,24L/02F,ALBUFEIRA DE ODELEITE,41.0,37.327,-7.488,257141.0,40280.0,GUADIANA,FARO,CASTRO MARIM,ODELEITE,Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2001-04-06,2018-03-28,NÃO,DESATIVADA,920684980,"{'type': 'Point', 'coordinates': ['-7.488', '37.327']}"
14,809,22M/05F,ALBUFEIRA DE PEGO DO ALTAR,48.0,38.41778,-8.390561,177514.0,161207.0,SADO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTIAGO),Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2001-03-28,2017-05-22,NÃO,DESATIVADA,920686106,"{'type': 'Point', 'coordinates': ['-8.390561', '38.41778']}"
15,811,24J/02F,ALBUFEIRA DO ALQUEVA,79.0,38.22317,-7.45971,258965.0,139786.0,GUADIANA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2002-07-19,2018-06-20,NÃO,DESATIVADA,920684974,"{'type': 'Point', 'coordinates': ['-7.45971', '38.22317']}"
16,812,19O/02F,ALBUFEIRA DO ALQUEVA (MOURÃO),103.0,38.39636,-7.38717,265163.0,159060.0,GUADIANA,ÉVORA,ALANDROAL,SANTIAGO MAIOR,Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2002-09-26,2018-06-20,NÃO,DESATIVADA,920684972,"{'type': 'Point', 'coordinates': ['-7.38717', '38.39636']}"
17,814,26I/02F,ALBUFEIRA DO ALVITO,195.0,38.282,-7.913,219249.0,146172.0,SADO,BEJA,CUBA,VILA RUIVA,Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2001-03-29,2018-06-21,NÃO,DESATIVADA,920685750,"{'type': 'Point', 'coordinates': ['-7.913', '38.282']}"
18,816,14M/01UG,ALBUFEIRA DO MARANHÃO,136.0,39.014,-7.973,213827.0,227340.0,TEJO,PORTALEGRE,AVIS,MARANHÃO,Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2001-04-01,2018-05-01,NÃO,DESATIVADA,920686166,"{'type': 'Point', 'coordinates': ['-7.973', '39.014']}"
19,817,17E/01U,ALBUFEIRA DO ROXO,135.0,37.928975,-8.079641,204698.0,106919.0,SADO,BEJA,ALJUSTREL,ERVIDEL,Autoridade Nacional da Água,nan,CLIMATOLÓGICA FLUTUANTE,nan,,,2001-04-01,2018-06-20,NÃO,DESATIVADA,920686108,"{'type': 'Point', 'coordinates': ['-8.079641', '37.928975']}"
20,818,17F/02CU,ALCÁÇOVAS,218.0,38.390412,-8.151349,198404.29,158137.554,SADO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,1931-11-14,,2001-03-09,,SIM,ATIVA,920684988,"{'type': 'Point', 'coordinates': ['-8.151349', '38.390412']}"
21,819,12L/04UG,ALCAFOZES,342.0,39.948781,-7.134712,285322.32,331623.161,TEJO,CASTELO BRANCO,IDANHA-A-NOVA,ALCAFOZES,nan,CCDR-CENTRO,nan,UDOMÉTRICA,1910-10-01,1984-10-31,,,NÃO,EXTINTA,920752556,"{'type': 'Point', 'coordinates': ['-7.134712', '39.948781']}"
22,821,28J/01G,ALCANEDE,86.0,39.415414,-8.818053,141012.913,272152.218,TEJO,SANTARÉM,SANTARÉM,ALCANEDE,nan,CCDR-LVT,nan,UDOMÉTRICA,1941-01-15,1985-09-30,,,NÃO,EXTINTA,920752450,"{'type': 'Point', 'coordinates': ['-8.818053', '39.415414']}"
